id,category,facility_id,facility_name,course_id,course_title,sentiment,text,rating,timestamp
254,courses,,,1114,HIST 162,positive,The workload in HIST 162 is manageable and the content is relevant.,4,2/15/2025
255,recreation,4,Student Union Game Room,,,positive,The staff at Student Union Game Room is super helpful with showing how to use equipment.,5,1/26/2025
256,services,3,Career Services,,,positive,Career Services has saved me numerous times this semester. Great resource!,4,3/4/2025
257,study_spaces,6,Business School Lounge,,,neutral,Business School Lounge is okay. Sometimes it gets crowded but usually manageable.,3,1/14/2025
258,recreation,2,Basketball Courts,,,positive,The fitness classes at Basketball Courts are amazing and free for students!,4,3/10/2025
259,courses,,,1005,CS 281,positive,CS 281 has really engaging discussions and useful assignments.,4,2/27/2025
260,courses,,,1058,CHEM 354,negative,CHEM 354 has unclear expectations and unhelpful feedback.,2,2/8/2025
261,study_spaces,1,Main Library,,,positive,Main Library is a great place to study. It's usually quiet and I can focus.,5,1/28/2025
262,study_spaces,3,Student Union Lounge,,,positive,Student Union Lounge is a great place to study. It's usually quiet and I can focus.,5,3/4/2025
263,study_spaces,2,Science Study Room,,,negative,Science Study Room is always too crowded. Impossible to find a seat after 11am.,2,3/4/2025
264,courses,,,1078,BUS 138,positive,The workload in BUS 138 is manageable and the content is relevant.,4,1/14/2025
265,study_spaces,7,Library Quiet Floor,,,positive,"I can always find a spot at Library Quiet Floor, even during finals week.",4,2/13/2025
266,study_spaces,3,Student Union Lounge,,,positive,"I can always find a spot at Student Union Lounge, even during finals week.",4,2/25/2025
267,study_spaces,2,Science Study Room,,,neutral,Science Study Room serves its purpose but nothing special.,3,1/28/2025
268,study_spaces,7,Library Quiet Floor,,,negative,Avoid Library Quiet Floor on Tuesdays and Thursdays. Way too noisy.,2,1/26/2025
269,study_spaces,5,Arts Collaboration Space,,,positive,Arts Collaboration Space has the perfect atmosphere for getting work done.,5,1/25/2025
270,courses,,,1097,PSYCH 468,positive,Highly recommend PSYCH 468. The professor explains concepts really well.,4,2/9/2025
271,dining,2,Science Hall Café,,,positive,I eat at Science Hall Café almost every day. Great value and quick service.,4,2/4/2025
272,courses,,,1028,ENG 120,positive,ENG 120 has really engaging discussions and useful assignments.,5,1/17/2025
273,courses,,,1029,ENG 190,neutral,Taking ENG 190 this semester. Content is interesting but heavy workload.,3,1/27/2025
274,courses,,,1104,ART 215,neutral,ART 215 is okay. Dr. Davis is knowledgeable but lectures can be dry.,3,3/8/2025
275,courses,,,1052,CHEM 167,positive,The workload in CHEM 167 is manageable and the content is relevant.,4,2/14/2025
276,services,3,Career Services,,,neutral,Career Services could improve their communication about available services.,3,3/12/2025
277,services,3,Career Services,,,negative,I got different answers from different people at Career Services. Not consistent.,2,2/4/2025
278,recreation,3,Swimming Pool,,,positive,The fitness classes at Swimming Pool are amazing and free for students!,5,2/27/2025
279,dining,6,Library Café,,,negative,Got food poisoning from Library Café last week. Never going back!,1,1/15/2025
280,services,5,Health Clinic,,,positive,Health Clinic has saved me numerous times this semester. Great resource!,5,1/19/2025
281,recreation,1,Campus Gym,,,positive,The staff at Campus Gym is super helpful with showing how to use equipment.,5,2/28/2025
282,dining,6,Library Café,,,positive,I love the variety at Library Café. Something new every week!,4,1/25/2025
283,services,4,Tutoring Center,,,neutral,Tutoring Center could improve their communication about available services.,3,1/23/2025
284,courses,,,1039,ENG 483,negative,The workload in ENG 483 is unreasonable for a 483-level course.,2,2/7/2025
285,services,4,Tutoring Center,,,positive,The advisors at Tutoring Center really care about helping students succeed.,5,2/15/2025
286,dining,5,Engineering Coffee Cart,,,positive,I love the variety at Engineering Coffee Cart. Something new every week!,5,1/15/2025
287,study_spaces,6,Business School Lounge,,,negative,The chairs at Business School Lounge are uncomfortable for long study sessions.,2,2/6/2025
288,dining,2,Science Hall Café,,,positive,Science Hall Café has the best food on campus. Try the special on Wednesdays!,4,1/24/2025
289,services,3,Career Services,,,positive,I highly recommend using Career Services if you're struggling with classes.,4,2/7/2025
290,study_spaces,2,Science Study Room,,,negative,Science Study Room is always too crowded. Impossible to find a seat after 11am.,1,3/2/2025
291,courses,,,1059,CHEM 498,positive,CHEM 498 with Dr. Thomas is amazing! Clear lectures and fair grading.,4,2/13/2025
292,services,4,Tutoring Center,,,positive,I highly recommend using Tutoring Center if you're struggling with classes.,4,2/25/2025
293,services,4,Tutoring Center,,,neutral,My experience with Tutoring Center was okay. They answered my questions but took a while.,3,2/12/2025
294,study_spaces,6,Business School Lounge,,,positive,Business School Lounge has the perfect atmosphere for getting work done.,5,2/10/2025
295,courses,,,1064,PHYS 143,positive,The workload in PHYS 143 is manageable and the content is relevant.,5,1/22/2025
296,dining,4,Sushi Spot,,,positive,The staff at Sushi Spot is super friendly and the food is delicious.,4,2/28/2025
297,courses,,,1059,CHEM 498,positive,The workload in CHEM 498 is manageable and the content is relevant.,5,2/18/2025
298,courses,,,1083,BUS 370,positive,BUS 370 with Dr. Smith is amazing! Clear lectures and fair grading.,4,2/9/2025
299,courses,,,1083,BUS 370,neutral,BUS 370 assignments are reasonable but exams are challenging.,3,3/13/2025
300,services,3,Career Services,,,positive,I highly recommend using Career Services if you're struggling with classes.,4,1/19/2025
